model_size,strategy,num_devices,total_tokens,total_time_sec,throughput_tokens_sec,avg_gpu_mem_mb,total_gpu_mem_mb,peak_gpu_mem_mb,avg_gpu_util_percent,relative_runtime_overhead_percent,ideal_scaling_throughput,throughput_scaling_factor,throughput_efficiency_percent,memory_scaling_factor,total_memory_scaling_factor,peak_memory_scaling_factor
zero-300m,simple_zero_stage2,4,3273600,66.56548923300579,49178.63652351585,1665.5923999023437,6662.369599609375,3571.57275390625,97.91375000000001,-62.13045697247721,74494.89967448749,2.64064448644976,66.016112161244,0.6149326974428863,2.459730789771545,0.12424326590950992
zero-300m,simple_zero_stage2,2,3273600,111.62768174568191,29326.05917104099,2794.7047534179687,5589.4095068359375,16390.92919921875,99.225,-36.49428035999974,37247.449837243745,1.5746613150260744,78.73306575130373,1.031798255489476,2.063596510978952,0.5701865019479708
zero-300m,simple_zero_stage2,4,3273600,85.46352690877393,38304.059268397956,1712.2110522460937,6848.844208984375,8608.16796875,99.115,-51.379239500114736,74494.89967448749,2.056734591805408,51.4183647951352,0.6321441914666193,2.528576765866477,0.29944984342413467
zero-500m,simple_zero_stage2,2,3273600,66.02570206392556,49580.692028545585,4147.390520019531,8294.781040039063,8807.35693359375,98.14750000000001,-71.77305931758228,27990.225057659547,3.5427147817789906,177.13573908894952,1.0264173403767656,2.052834680753531,0.2419010832709072
zero-500m,simple_zero_stage2,4,3273600,95.23797141993418,34372.844687815406,2559.5649682617186,10238.259873046874,4989.11474609375,98.76624999999999,-59.28439250246051,55980.450115319094,2.456060615233192,61.4015153808298,0.6334541815060043,2.533816726024017,0.13703001601304282
zero-500m,simple_zero_stage2,2,3273600,150.13029820285738,21805.058933385204,4240.362199707031,8480.724399414063,21216.669921875,99.2675,-35.81713045772974,27990.225057659547,1.5580481320508877,77.90240660254439,1.0494264454356148,2.0988528908712296,0.5827327626437686
zero-500m,simple_zero_stage2,4,3273600,119.30677010538056,27438.509961408847,2606.4336206054686,10425.734482421874,11192.2880859375,99.19125,-48.99463364259454,55980.450115319094,1.9605780164243642,49.01445041060911,0.6450534744236842,2.580213897694737,0.30740511968368844
zero-100m,simple_zero_stage3,2,1635200,22.51741455262527,72619.34962286132,879.0931567382812,1758.1863134765624,1643.6796875,46.084999999999994,-14.561518143817453,124089.7397032123,1.1704327818971392,58.52163909485696,0.9732495579305147,1.9464991158610294,0.3484286916141683
zero-100m,simple_zero_stage3,4,1635200,27.114068208262324,60308.17608925666,502.25195556640625,2009.007822265625,999.23291015625,62.677499999999995,2.8796986991932227,248179.4794064246,0.9720090675264019,24.30022668816005,0.5560462960926781,2.2241851843707123,0.21181828683002443
zero-100m,simple_zero_stage3,2,1635200,23.221494706813246,70417.51707396458,925.5179614257812,1851.0359228515624,3190.2158203125,82.6825,-11.890006308464473,124089.7397032123,1.1349450364290141,56.7472518214507,1.0246467509274015,2.049293501854803,0.6762648055406506
zero-100m,simple_zero_stage3,4,1635200,26.194496276322752,62425.327166075724,526.4667993164062,2105.867197265625,1756.00634765625,65.38624999999999,-0.6094598646754545,248179.4794064246,1.0061319705461471,25.15329926365368,0.5828547017711905,2.331418807084762,0.3722397975913671
zero-10m,simple_zero_stage3,2,406400,14.860453586094081,27347.752048449962,303.7007739257813,607.4015478515626,410.02294921875,19.9875,114.56270874278687,117356.15515083044,0.4660642130496117,23.303210652480587,1.228077364749999,2.456154729499998,0.6649154174334155
zero-10m,simple_zero_stage3,4,406400,15.264397590886801,26624.044452473525,259.1523754882812,1036.609501953125,348.62109375,29.033750000000005,120.39505560532402,234712.31030166088,0.45373068703989705,11.343267175997426,1.0479366326413353,4.191746530565341,0.5653428436592373
zero-10m,simple_zero_stage3,2,406400,14.601365903858095,27833.01251923408,327.9610278320313,655.9220556640626,579.57373046875,25.2375,110.82187037736419,117356.15515083044,0.4743340898219112,23.716704491095562,1.3261787567887113,2.6523575135774227,0.9398681455814676
zero-10m,simple_zero_stage3,4,406400,15.575652226805687,26092.005270930862,271.2529614257812,1085.011845703125,413.0244140625,29.19125,124.88910670575612,234712.31030166088,0.44466360094017154,11.116590023504289,1.096867873408234,4.387471493632936,0.6697827553551011
zero-1b,simple_zero_stage3,2,1635200,83.1990428189747,19654.07226568561,8063.925310058594,16127.850620117188,13113.0986328125,97.2475,-56.81698079723947,16974.443601230898,2.3157250661530253,115.78625330765126,0.9931613177315736,1.9863226354631471,0.46557238758088815
zero-1b,simple_zero_stage3,4,1635200,171.2073486438021,9550.991899314107,4097.391765136719,16389.567060546877,7592.27978515625,98.58125000000001,-11.137797099116497,33948.887202461796,1.125337845962918,28.13344614907295,0.5046389752208795,2.018555900883518,0.2695591580400683
zero-1b,simple_zero_stage3,2,1635200,116.56529749277979,14028.188793506803,8110.350114746094,16220.700229492188,21719.9814453125,98.6725,-39.49880540142209,16974.443601230898,1.6528599255517926,82.64299627758963,0.9988790443257617,1.9977580886515234,0.7711543932418252
zero-1b,simple_zero_stage3,4,1635200,131.03602539701387,12479.01098225209,4122.044108886719,16488.176435546877,11976.05419921875,98.91625,-31.98802523143739,33948.887202461796,1.4703293109822082,36.7582327745552,0.5076751831794754,2.0307007327179014,0.42520233420470455
zero-300m,simple_zero_stage3,2,3273600,40.95912589970976,79923.58059631339,2579.3253393554687,5158.650678710937,6586.48779296875,89.02250000000001,-76.69808487098622,37247.449837243745,4.291492756983205,214.57463784916024,0.9522806952082891,1.9045613904165781,0.22912224128055314
zero-300m,simple_zero_stage3,4,3273600,55.52307686582208,58959.26855622631,1351.9441088867188,5407.776435546875,3604.96826171875,91.82249999999999,-68.41255772896602,74494.89967448749,3.1658150458006875,79.14537614501718,0.4991345047674766,1.9965380190699065,0.12540498575766185
zero-300m,simple_zero_stage3,2,3273600,95.10359112871811,34421.41312591804,2672.2970190429687,5344.594038085937,16930.4140625,98.1775,-45.89494379416137,37247.449837243745,1.848256096797266,92.4128048398633,0.9866056151463137,1.9732112302926275,0.5889534054779353
zero-300m,simple_zero_stage3,4,3273600,58.90958133433014,55569.90774423102,1399.0608862304687,5596.243544921875,8810.55712890625,97.39625,-66.48595314510794,74494.89967448749,2.9838234825229106,74.59558706307277,0.5165299053399737,2.0661196213598947,0.30649029646124376
zero-500m,simple_zero_stage3,2,3273600,47.36078337300569,69120.4783125665,3903.171477050781,7806.342954101562,9087.68115234375,96.13,-79.75258147731107,27990.225057659547,4.938901217848667,246.94506089243333,0.9659767671191108,1.9319535342382217,0.24960041153635384
zero-500m,simple_zero_stage3,4,3273600,81.2846655473113,40273.278827660535,2018.3154516601562,8073.261806640625,5006.3525390625,95.45750000000001,-65.24963217244274,55980.450115319094,2.8776673817161553,71.94168454290389,0.4995029930107937,1.9980119720431748,0.1375034657464623
zero-500m,simple_zero_stage3,2,3273600,123.57146200723946,26491.55352558842,3996.143156738281,7992.286313476562,21997.98095703125,99.195,-47.17141629571942,27990.225057659547,1.892914649383213,94.64573246916065,0.98898587217796,1.97797174435592,0.6041920934283439
zero-500m,simple_zero_stage3,4,3273600,76.88278716336936,42579.10152299603,2065.1822290039063,8260.728916015625,11506.44140625,98.015,-67.131498720631,55980.450115319094,3.042426521064662,76.06066302661655,0.5111018218939188,2.0444072875756754,0.3160335912069536
zero-100m,simple_zero_stage3_offload,2,1635200,33.77810319093987,48410.059936065365,138.12040283203123,276.24080566406246,898.5712890625,49.3125,28.165240723825026,124089.7397032123,0.7802427509614992,39.01213754807496,0.1529139659057538,0.3058279318115076,0.19047994627609185
zero-100m,simple_zero_stage3_offload,4,1635200,35.07525468384847,46619.76127440581,130.04665771484372,520.1866308593749,624.43603515625,63.48,33.0870604128741,248179.4794064246,0.7513878485990405,18.784696214976012,0.143975471952165,0.57590188780866,0.13236850974118458
zero-100m,simple_zero_stage3_offload,2,1635200,34.57424740400165,47295.317260058146,184.544912109375,369.08982421875,2443.7255859375,66.71000000000001,31.186073899126356,124089.7397032123,0.7622760330253769,38.113801651268844,0.20431083185220025,0.4086216637044005,0.5180231373834933
zero-100m,simple_zero_stage3_offload,4,1635200,32.85362778697163,49772.28118011527,154.10593017578125,616.423720703125,1380.86572265625,62.735,24.65747677322443,248179.4794064246,0.8021981720512357,20.05495430128089,0.17061164367896695,0.6824465747158678,0.2927171520697947
zero-10m,simple_zero_stage3_offload,2,406400,16.270127435214818,24978.29237160085,222.36456298828125,444.7291259765625,328.1279296875,21.5875,134.91628932220138,117356.15515083044,0.4256835500361755,21.284177501808774,0.8991774469273147,1.7983548938546294,0.5321100190987784
zero-10m,simple_zero_stage3_offload,4,406400,16.00521126994863,25391.729802595997,218.4826983642578,873.9307934570312,307.6728515625,33.19125,131.09129638507767,234712.31030166088,0.43272940852504266,10.818235213126066,0.8834803184143925,3.53392127365757,0.4989389567569451
zero-10m,simple_zero_stage3_offload,2,406400,15.347766435239464,26479.423029717167,246.6300537109375,493.260107421875,498.0693359375,26.002499999999998,121.59877694299585,117356.15515083044,0.4512660285382533,22.563301426912666,0.997300015124417,1.994600030248834,0.8076962058994004
zero-10m,simple_zero_stage3_offload,4,406400,15.913342529907823,25538.317876097026,230.58413513183595,922.3365405273438,372.0498046875,30.13125,129.76484927511947,234712.31030166088,0.43522758296357344,10.880689574089336,0.9324149996900087,3.729659998760035,0.6033361099937604
zero-1b,simple_zero_stage3_offload,2,1635200,210.0480077676475,7784.886975975692,148.7910949707031,297.5821899414062,5137.97900390625,63.795,9.021772914715086,16974.443601230898,0.9172479709922478,45.86239854961239,0.018325263970823343,0.036650527941646686,0.18242073968721823
zero-1b,simple_zero_stage3_offload,4,1635200,260.6157539873384,6274.371272580259,140.52471557617187,562.0988623046875,3614.5791015625,81.54875,35.268083954572596,33948.887202461796,0.7392726878099585,18.48181719524896,0.01730716820025598,0.06922867280102392,0.12833337638470102
zero-1b,simple_zero_stage3_offload,2,1635200,243.05332304397598,6727.741795590019,195.21640869140623,390.43281738281246,13744.869140625,68.41,26.152608980605564,16974.443601230898,0.7926907006368278,39.63453503184139,0.02404305325806318,0.04808610651612636,0.48800300538997343
zero-1b,simple_zero_stage3_offload,4,1635200,206.16667091706768,7931.44688579549,165.17735595703124,660.709423828125,7990.06494140625,77.91125,7.007232385497053,33948.887202461796,0.9345162730659805,23.362906826649514,0.020343412692212837,0.08137365076885135,0.2836822718917505
zero-300m,simple_zero_stage3_offload,2,3273600,82.14649619394913,39850.75629118716,158.73683349609377,317.47366699218753,4155.32568359375,60.9025,-53.26632001024171,37247.449837243745,2.139784412909813,106.98922064549066,0.05860525613050253,0.11721051226100505,0.14455010983122366
zero-300m,simple_zero_stage3_offload,4,3273600,86.69172913488,37761.38776637785,142.03749572753907,568.1499829101563,2389.87255859375,71.4625,-50.68050720528829,74494.89967448749,2.027595872006261,50.68989680015652,0.05243990089705568,0.2097596035882227,0.08313580381708727
zero-300m,simple_zero_stage3_offload,2,3273600,128.00882789911702,25573.23626601678,251.46119140625,502.9223828125,14491.4873046875,85.96000000000001,-27.17493896785299,37247.449837243745,1.3731536724130888,68.65768362065444,0.09283886546475209,0.18567773092950418,0.5041111674545596
zero-300m,simple_zero_stage3_offload,4,3273600,84.67844651872292,38659.18819467463,188.91376037597655,755.6550415039062,7591.3642578125,82.75,-51.82587687863729,74494.89967448749,2.0758032221588114,51.89508055397029,0.06974650476244337,0.2789860190497735,0.264078587526403
zero-500m,simple_zero_stage3_offload,2,3273600,109.15350681589916,29990.790909918538,162.0247802734375,324.049560546875,5324.5283203125,61.519999999999996,-53.33530025644866,27990.225057659547,2.142947464562207,107.14737322811034,0.0400987182761387,0.0801974365522774,0.14624241736784693
zero-500m,simple_zero_stage3_offload,4,3273600,123.42111434368417,26523.824690840025,145.58314636230472,582.3325854492189,3120.03369140625,79.51125,-47.23569209208741,55980.450115319094,1.8952205376127735,47.38051344031934,0.036029658931702076,0.1441186357268083,0.08569421399445154
zero-500m,simple_zero_stage3_offload,2,3273600,177.81242141500115,18410.412354487078,254.99780517578125,509.9956103515625,18228.4599609375,78.445,-23.982623206053212,27990.225057659547,1.3154886976836975,65.77443488418487,0.06310815625561238,0.12621631251122475,0.5006591925543655
zero-500m,simple_zero_stage3_offload,4,3273600,120.25746513111517,27221.594904156977,192.4598907470703,769.8395629882812,9627.35791015625,82.91749999999999,-48.588197796255514,55980.450115319094,1.9450786728638871,48.62696682159718,0.0476309545089283,0.1905238180357132,0.26442306415680417
